model_id,model_name,status,n_success,n_total,PSNR,PSNR_std,PSNR_min,PSNR_max,SSIM,SSIM_std,SSIM_min,SSIM_max,MS_SSIM,MS_SSIM_std,MS_SSIM_min,MS_SSIM_max,LPIPS,LPIPS_std,LPIPS_min,LPIPS_max,MSE,MSE_std,MSE_min,MSE_max,Payload_Capacity_bpp,Payload_Capacity_bpp_std,Payload_Capacity_bpp_min,Payload_Capacity_bpp_max,Secret_Recovery_Accuracy,Secret_Recovery_Accuracy_std,Secret_Recovery_Accuracy_min,Secret_Recovery_Accuracy_max,Robustness,Robustness_std,Robustness_min,Robustness_max,Inference_Time_ms,Inference_Time_ms_std,Inference_Time_ms_min,Inference_Time_ms_max,Steganalysis_Detectability,Steganalysis_Detectability_std,Steganalysis_Detectability_min,Steganalysis_Detectability_max,norm_PSNR,norm_SSIM,norm_MS_SSIM,norm_LPIPS,norm_MSE,norm_Payload_Capacity_bpp,norm_Secret_Recovery_Accuracy,norm_Robustness,norm_Inference_Time_ms,norm_Steganalysis_Detectability,overall_score,security_gate,rank
paper_model_05,Zhang ISS Multi-Image (2025),ok,5,5,74.95804,0.134362,74.8034,75.1673,0.999999,0.0,0.999999,0.999999,0.999998,1e-06,0.999997,0.999999,0.0,0.0,0.0,0.0,0.002077,6.4e-05,0.001979,0.002151,0.012817,0.0,0.012817,0.012817,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,106.656,7.438101,98.08,116.84,1.5127,0.117824,1.4167,1.7421,0.9888,1.0,1.0,0.5,0.9931,0.0244,0.5,0.5,0.9916,0.5789,0.5171,0.775,1
paper_model_03,Rahman LSB+MagicMatrix (2025),ok,5,5,74.8571,0.13294,74.672,75.0571,0.999999,0.0,0.999999,0.999999,0.999998,1e-06,0.999997,0.999999,0.0,0.0,0.0,0.0,0.002126,6.5e-05,0.002029,0.002218,0.013062,0.0,0.013062,0.013062,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,102.988,4.76298,98.65,111.76,1.50778,0.06015,1.4369,1.5849,0.9229,1.0,1.0,0.5,0.9369,0.0733,0.5,0.5,0.9966,0.6327,0.5158,0.775,2
paper_model_01,Kanimozhi RNN+Fuzzy (2025),ok,5,5,74.97514,0.236997,74.662,75.3731,0.999999,0.0,0.999999,0.999999,0.999998,1e-06,0.999997,0.999999,0.0,0.0,0.0,0.0,0.002071,0.000112,0.001887,0.002223,0.012695,0.0,0.012695,0.012695,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,111.886,7.425218,104.27,120.8,1.56572,0.142405,1.3502,1.7829,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,0.9845,0.0,0.4721,0.775,3
paper_model_04,Aljarf DL-Steg ECC+SAE (2025),ok,5,5,74.77618,0.17361,74.554,75.0246,0.999999,0.0,0.999999,0.999999,0.999998,0.0,0.999998,0.999999,0.0,0.0,0.0,0.0,0.002167,8.6e-05,0.002045,0.002279,0.012817,0.0,0.012817,0.012817,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.496,3.077126,97.23,106.25,1.56428,0.100431,1.4603,1.7103,0.87,1.0,1.0,0.5,0.8898,0.0244,0.5,0.5,1.0,0.0157,0.46,0.775,4
proposed,ARES-Steg-Q (Proposed),ok,5,5,73.48364,0.109122,73.3144,73.6083,0.999998,0.0,0.999998,0.999999,0.999998,1e-06,0.999997,0.999999,0.0,0.0,0.0,0.0,0.002916,7.3e-05,0.002833,0.003031,0.017578,0.0,0.017578,0.017578,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,835.748,16.451337,813.26,855.84,1.48496,0.057371,1.3918,1.548,0.0255,0.0,1.0,0.5,0.0299,0.9756,0.5,0.5,0.0,0.8819,0.3576,0.775,5
paper_model_02,Sanjalawe Huffman+LSB+DL (2025),ok,5,5,73.44466,0.034638,73.3804,73.4777,0.999998,0.0,0.999998,0.999999,0.999997,1e-06,0.999996,0.999999,0.0,0.0,0.0,0.0,0.002942,2.4e-05,0.00292,0.002986,0.0177,0.0,0.0177,0.0177,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,105.69,11.360924,98.12,128.18,1.47414,0.041114,1.4253,1.5345,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.9929,1.0,0.3407,0.775,6
